,Course Code,course_title,course_code,Unnamed: 3,keywords,Simplified_Title,course_title_l
59,BECE314L,Electromagnetic Interference and Compatibility,BECE314L : Electromagnetic Interference and Compatibility,,"['electromagnetic interference compatibility', 'electromagnetic interference', 'interference compatibility', 'interference', 'electromagnetic', 'compatibility']",electromagnetic interference compatibility,electromagnetic interference and compatibility
60,BECE315L,Optical Networks,BECE315L : Optical Networks,,"['optical networks', 'optical', 'networks']",optical networks,optical networks
61,BECE316E,Digital Image Processing,BECE316E : Digital Image Processing,,"['digital image processing', 'image processing', 'digital image', 'processing', 'digital', 'image']",digital image processing,digital image processing
62,BECE391J,Technical Answers to Real Problems Project,BECE391J : Technical Answers to Real Problems Project,,"['real problems project', 'problems project', 'technical answers real', 'technical answers', 'answers real problems', 'project', 'technical', 'real problems', 'answers real', 'problems']",technical answers real problems project,technical answers to real problems project
63,BECE392J,Design Project,BECE392J : Design Project,,"['design project', 'design', 'project']",design project,design project
64,BECE393J,Laboratory Project,BECE393J : Laboratory Project,,"['laboratory project', 'laboratory', 'project']",laboratory project,laboratory project
65,BECE394J,Product Development Project,BECE394J : Product Development Project,,"['product development project', 'product development', 'development project', 'project', 'product', 'development']",product development project,product development project
66,BECE395J,Computer Project,BECE395J : Computer Project,,"['computer project', 'project', 'computer']",computer project,computer project
67,BECE396J,Reading Course,BECE396J : Reading Course,,"['reading course', 'reading', 'course']",reading course,reading course
68,BECE397J,Special Project,BECE397J : Special Project,,"['special project', 'project', 'special']",special project,special project
69,BECE398J,Simulation Project,BECE398J : Simulation Project,,"['simulation project', 'simulation', 'project']",simulation project,simulation project
70,BECE403E,Embedded Systems Design,BECE403E : Embedded Systems Design,,"['embedded systems design', 'embedded systems', 'systems design', 'systems', 'design', 'embedded']",embedded systems design,embedded systems design
71,BECE404E,"Detection , Estimation and Modulation Theory","BECE404E : Detection , Estimation and Modulation Theory",,"['estimation modulation theory', 'detection estimation modulation', 'estimation modulation', 'modulation theory', 'detection estimation', 'modulation', 'detection', 'estimation', 'theory']",detection  estimation modulation theory,"detection , estimation and modulation theory"
72,BECE405L,Cognitive Radio Networks,BECE405L : Cognitive Radio Networks,,"['cognitive radio networks', 'cognitive radio', 'radio networks', 'radio', 'cognitive', 'networks']",cognitive radio networks,cognitive radio networks
73,BECE406E,FPGA Based System Design,BECE406E : FPGA Based System Design,,"['fpga based design', 'fpga based', 'fpga', 'based design', 'design', 'based']",fpga based system design,fpga based system design
74,BECE407E,ASIC Design,BECE407E : ASIC Design,,"['asic design', 'asic', 'design']",asic design,asic design
75,BECE408L,Microwave Integrated Circuits,BECE408L : Microwave Integrated Circuits,,"['microwave integrated circuits', 'microwave integrated', 'integrated circuits', 'circuits', 'microwave', 'integrated']",microwave integrated circuits,microwave integrated circuits
76,BECE409E,Sensors Technology,BECE409E : Sensors Technology,,"['sensors technology', 'sensors', 'technology']",sensors technology,sensors technology
77,BECE410L,Micro - Electromechanical Systems,BECE410L : Micro - Electromechanical Systems,,"['micro electromechanical systems', 'micro electromechanical', 'electromechanical systems', 'electromechanical', 'micro', 'systems']",micro  electromechanical systems,micro - electromechanical systems
78,BECE399J,Summer Industrial Internship,BECE399J : Summer Industrial Internship,,"['summer industrial internship', 'industrial internship', 'internship', 'summer industrial', 'industrial', 'summer']",summer industrial internship,summer industrial internship
79,BECE497J,Project - l,BECE497J : Project - l,,['project'],project  l,project - l
80,BECE498J,Project - II / Internship,BECE498J : Project - II / Internship,,"['project ii internship', 'ii internship', 'internship', 'project ii', 'project', 'ii']",project  ii  internship,project - ii / internship
81,BECE499J,One Semester Internship,BECE499J : One Semester Internship,,"['semester internship', 'internship', 'semester']",semester internship,one semester internship
82,BECE351E,Internet of Things,BECE351E : Internet of Things,,"['internet things', 'internet', 'things']",internet things,internet of things
83,BECE352E,loT Domain Analyst,BECE352E : loT Domain Analyst,,"['lot domain analyst', 'lot domain', 'domain analyst', 'domain', 'lot', 'analyst']",lot domain analyst,lot domain analyst
84,BFST213E,Garment Designing and Manufacturing,BFST213E : Garment Designing and Manufacturing,,"['garment designing manufacturing', 'garment designing', 'garment', 'designing manufacturing', 'designing', 'manufacturing']",garment designing manufacturing,garment designing and manufacturing
85,BHUM201L,Mass Communication,BHUM201L : Mass Communication,,"['mass communication', 'communication', 'mass']",mass communication,mass communication
86,BHUM202L,Rural Development,BHUM202L : Rural Development,,"['rural development', 'rural', 'development']",rural development,rural development
87,BHUM203L,Introduction to Psychology,BHUM203L : Introduction to Psychology,,"['introduction psychology', 'psychology', 'introduction']",introduction psychology,introduction to psychology
88,BHUM204L,Industrial Psychology,BHUM204L : Industrial Psychology,,"['industrial psychology', 'psychology', 'industrial']",industrial psychology,industrial psychology
89,BHUM205L,Development Economics,BHUM205L : Development Economics,,"['development economics', 'economics', 'development']",development economics,development economics
90,BHUM206L,International Economics,BHUM206L : International Economics,,"['international economics', 'economics', 'international']",international economics,international economics
91,BHUM207L,Engineering Economics,BHUM207L : Engineering Economics,,"['engineering economics', 'engineering', 'economics']",engineering economics,engineering economics
92,BHUM208L,Economics of Strategy,BHUM208L : Economics of Strategy,,"['economics strategy', 'strategy', 'economics']",economics strategy,economics of strategy
93,BHUM209L,Game Theory,BHUM209L : Game Theory,,"['game theory', 'theory', 'game']",game theory,game theory
94,BHUM210E,Econometrics,BHUM210E : Econometrics,,['econometrics'],econometrics,econometrics
95,BHUM211L,Behavioral Economics,BHUM211L : Behavioral Economics,,"['behavioral economics', 'economics', 'behavioral']",behavioral economics,behavioral economics
96,BHUM212L,Mathematics for Economic Analysis,BHUM212L : Mathematics for Economic Analysis,,"['mathematics economic analysis', 'mathematics economic', 'economic analysis', 'mathematics', 'economic', 'analysis']",mathematics economic analysis,mathematics for economic analysis
97,BHUM213L,Corporate Social Responsibility,BHUM213L : Corporate Social Responsibility,,"['corporate social responsibility', 'corporate social', 'social responsibility', 'corporate', 'social', 'responsibility']",corporate social responsibility,corporate social responsibility
98,BHUM214L,Political Science,BHUM214L : Political Science,,"['political science', 'political', 'science']",political science,political science
99,BHUM215L,International Relations,BHUM215L : International Relations,,"['international relations', 'relations', 'international']",international relations,international relations
100,BHUM216L,Indian Culture and Heritage,BHUM216L : Indian Culture and Heritage,,"['indian culture heritage', 'indian culture', 'culture heritage', 'heritage', 'indian', 'culture']",indian culture heritage,indian culture and heritage
101,BHUM217L,Contemporary India,BHUM217L : Contemporary India,,"['contemporary india', 'india', 'contemporary']",contemporary india,contemporary india
102,BHUM218L,Financial Management,BHUM218L : Financial Management,,"['financial management', 'financial', 'management']",financial management,financial management
103,BHUM219L,Principles of Accounting,BHUM219L : Principles of Accounting,,"['principles accounting', 'accounting', 'principles']",principles accounting,principles of accounting
104,BHUM220L,Financial Markets and Institutions,BHUM220L : Financial Markets and Institutions,,"['financial markets institutions', 'financial markets', 'markets institutions', 'markets', 'financial', 'institutions']",financial markets institutions,financial markets and institutions
105,BHUM221L,"Economics of Money , Banking and Financial Markets","BHUM221L : Economics of Money , Banking and Financial Markets",,"['economics money banking', 'economics money', 'banking financial markets', 'money banking', 'money banking financial', 'financial markets', 'banking financial', 'banking', 'financial', 'economics']",economics money  banking financial markets,"economics of money , banking and financial markets"
106,BHUM222L,Security Analysis and Portfolio Management,BHUM222L : Security Analysis and Portfolio Management,,"['security analysis portfolio', 'analysis portfolio management', 'analysis portfolio', 'portfolio management', 'security analysis', 'portfolio', 'security', 'analysis', 'management']",security analysis portfolio management,security analysis and portfolio management
107,BHUM223L,"Options , Futures and other Derivatives","BHUM223L : Options , Futures and other Derivatives",,"['options futures derivatives', 'futures derivatives', 'options futures', 'futures', 'derivatives', 'options']",options  futures derivatives,"options , futures and other derivatives"
108,BHUM224L,Fixed Income Securities,BHUM224L : Fixed Income Securities,,"['fixed income securities', 'fixed income', 'income securities', 'securities', 'income', 'fixed']",fixed income securities,fixed income securities
109,BHUM225L,Personal Finance,BHUM225L : Personal Finance,,"['personal finance', 'finance', 'personal']",personal finance,personal finance
110,BHUM226L,Corporate Finance,BHUM226L : Corporate Finance,,"['corporate finance', 'finance', 'corporate']",corporate finance,corporate finance
111,BHUM227L,Financial Statement Analysis,BHUM227L : Financial Statement Analysis,,"['financial statement analysis', 'financial statement', 'statement analysis', 'analysis', 'financial', 'statement']",financial statement analysis,financial statement analysis
112,BHUM228L,Cost and Management Accounting,BHUM228L : Cost and Management Accounting,,"['cost management accounting', 'management accounting', 'cost management', 'accounting', 'management', 'cost']",cost management accounting,cost and management accounting
113,BHUM229L,"Mind , Embodiment , and Technology","BHUM229L : Mind , Embodiment , and Technology",,"['mind embodiment', 'mind embodiment technology', 'embodiment technology', 'embodiment', 'technology', 'mind']",mind  embodiment  technology,"mind , embodiment , and technology"
114,BHUM230L,Health Humanities in Biotechnological Era,BHUM230L : Health Humanities in Biotechnological Era,,"['health humanities biotechnological', 'humanities biotechnological era', 'humanities biotechnological', 'health humanities', 'biotechnological era', 'humanities', 'biotechnological', 'health', 'era']",health humanities biotechnological era,health humanities in biotechnological era
115,BSTS301P,Advanced Competitive Coding - l,BSTS301P : Advanced Competitive Coding - l,,"['advanced competitive coding', 'competitive coding', 'advanced competitive', 'coding', 'competitive', 'advanced']",advanced competitive coding  l,advanced competitive coding - l
116,BSTS302P,Advanced Competitive Coding - II,BSTS302P : Advanced Competitive Coding - II,,"['competitive coding ii', 'advanced competitive coding', 'competitive coding', 'coding ii', 'coding', 'advanced competitive', 'competitive', 'advanced', 'ii']",advanced competitive coding  ii,advanced competitive coding - ii
117,BCHY102N,Environmental Sciences,BCHY102N : Environmental Sciences,,"['environmental sciences', 'environmental', 'sciences']",environmental sciences,environmental sciences
118,BECE101N,Introduction to Engineering,BECE101N : Introduction to Engineering,,"['introduction engineering', 'engineering', 'introduction']",introduction engineering,introduction to engineering
119,BEXC100N,Extra curricular activities,BEXC100N : Extra curricular activities,,"['extra curricular activities', 'extra curricular', 'curricular activities', 'curricular', 'activities', 'extra']",extra curricular activities,extra curricular activities
120,BHUM101N,Ethics and Values,BHUM101N : Ethics and Values,,"['ethics values', 'ethics', 'values']",ethics values,ethics and values
121,BSSC101N,Essence of Traditional Knowledge,BSSC101N : Essence of Traditional Knowledge,,"['traditional knowledge', 'essence traditional knowledge', 'essence traditional', 'knowledge', 'traditional', 'essence']",essence traditional knowledge,essence of traditional knowledge
122,BSSC102N,Indian Constitution,BSSC102N : Indian Constitution,,"['indian constitution', 'constitution', 'indian']",indian constitution,indian constitution
