,old,course_code,course_title,keywords
66,BCSE420L,"BCSE420L : Sensors , Actuators and Signal Conditioning","Sensors , Actuators and Signal Conditioning","['actuators signal conditioning', 'sensors actuators signal', 'sensors actuators', 'actuators signal', 'sensors', 'signal conditioning', 'actuators', 'signal', 'conditioning']"
67,BCSE420P,"BCSE420P : Sensors , Actuators and Signal Conditioning Lab","Sensors , Actuators and Signal Conditioning Lab","['sensors actuators signal', 'sensors actuators', 'actuators signal conditioning', 'actuators signal', 'signal conditioning lab', 'sensors', 'conditioning lab', 'actuators', 'signal conditioning', 'signal']"
68,BCSE428L,BCSE428L : Autonomous Drones,Autonomous Drones,"['autonomous drones', 'drones', 'autonomous']"
69,BCSE428P,BCSE428P : Autonomous Drones Lab,Autonomous Drones Lab,"['autonomous drones lab', 'drones lab', 'autonomous drones', 'drones', 'autonomous', 'lab']"
70,BCSE429L,BCSE429L : Cyber Physical Systems Design,Cyber Physical Systems Design,"['cyber physical systems', 'physical systems design', 'cyber physical', 'systems design', 'physical systems', 'cyber', 'systems', 'design', 'physical']"
71,BCSE429P,BCSE429P : Cyber Physical System Design Lab,Cyber Physical System Design Lab,"['cyber physical design', 'physical design lab', 'cyber physical', 'design lab', 'physical design', 'cyber', 'design', 'lab', 'physical']"
72,BECE302L,BECE302L : Control Systems,Control Systems,"['control systems', 'systems', 'control']"
73,BECE309L,BECE309L : Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning,"['machine learning', 'intelligence machine learning', 'artificial intelligence', 'intelligence machine', 'artificial intelligence machine', 'intelligence', 'learning', 'machine', 'artificial']"
74,BECE312L,BECE312L : Robotics and Automation,Robotics and Automation,"['robotics automation', 'robotics', 'automation']"
75,BECE403E,BECE403E : Embedded Systems Design,Embedded Systems Design,"['embedded systems design', 'embedded systems', 'systems design', 'systems', 'design', 'embedded']"
76,BECE406E,BECE406E : FPGA Based System Design,FPGA Based System Design,"['fpga based design', 'fpga based', 'fpga', 'based design', 'design', 'based']"
77,BECE407E,BECE407E : ASIC Design,ASIC Design,"['asic design', 'asic', 'design']"
78,BECE411L,BECE411L : Cryptography and Network Security,Cryptography and Network Security,"['cryptography network security', 'cryptography network', 'cryptography', 'network security', 'security', 'network']"
79,BECM302E,BECM302E : Augmented and Virtual Reality,Augmented and Virtual Reality,"['augmented virtual reality', 'augmented virtual', 'virtual reality', 'augmented', 'virtual', 'reality']"
80,BECM303L,BECM303L : Wireless Communication Networks,Wireless Communication Networks,"['wireless communication networks', 'wireless communication', 'communication networks', 'wireless', 'networks', 'communication']"
81,BECM391J,BECM391J : Technical Answers to Real Problems Project,Technical Answers to Real Problems Project,"['real problems project', 'problems project', 'technical answers real', 'technical answers', 'answers real problems', 'project', 'technical', 'real problems', 'answers real', 'problems']"
82,BECM392J,BECM392J : Design Project,Design Project,"['design project', 'design', 'project']"
83,BECM393J,BECM393J : Laboratory Project,Laboratory Project,"['laboratory project', 'laboratory', 'project']"
84,BECM394J,BECM394J : Product Development Project,Product Development Project,"['product development project', 'product development', 'development project', 'project', 'product', 'development']"
85,BECM395J,BECM395J : Computer Project,Computer Project,"['computer project', 'project', 'computer']"
86,BECM396J,BECM396J : Reading Course,Reading Course,"['reading course', 'reading', 'course']"
87,BECM397J,BECM397J : Special Project,Special Project,"['special project', 'project', 'special']"
88,BECM398J,BECM398J : Stimulation Project,Stimulation Project,"['stimulation project', 'stimulation', 'project']"
89,BECM399J,BECM399J : Summer Industrial Internship,Summer Industrial Internship,"['summer industrial internship', 'industrial internship', 'internship', 'summer industrial', 'industrial', 'summer']"
90,BECM497J,BECM497J : Project - I,Project - I,['project']
91,BECM498J,BECM498J : Project - II / Internship,Project - II / Internship,"['project ii internship', 'ii internship', 'internship', 'project ii', 'project', 'ii']"
92,BECM499J,BECM499J : One Semester Internship,One Semester Internship,"['semester internship', 'internship', 'semester']"
93,BCHY102N,BCHY102N : Environmental Sciences,Environmental Sciences,"['environmental sciences', 'environmental', 'sciences']"
94,BECM101N,BECM101N : Introduction to Engineering,Introduction to Engineering,"['introduction engineering', 'engineering', 'introduction']"
95,BEXC100N,BEXC100N : Extra curricular activities,Extra curricular activities,"['extra curricular activities', 'extra curricular', 'curricular activities', 'curricular', 'activities', 'extra']"
96,BHUM101N,BHUM101N : Ethics and Values,Ethics and Values,"['ethics values', 'ethics', 'values']"
97,BSSC101N,BSSC101N : Essence of Traditional Knowledge,Essence of Traditional Knowledge,"['traditional knowledge', 'essence traditional knowledge', 'essence traditional', 'knowledge', 'traditional', 'essence']"
98,BSSC102N,BSSC102N : Indian Constitution,Indian Constitution,"['indian constitution', 'constitution', 'indian']"
