,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,Simplified_Title,course_title_l,keywords
10,10,10,10,10,592338,Forex Trading Secrets of the Pros With Amazon's AWS,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,TRUE,200,4284,93,76,All Levels,5 hours,2015-09-11T16:47:02Z,Business Finance,forex trading secrets pros amazons aws,forex trading secrets of the pros with amazon's aws,"['forex trading secrets', 'forex trading', 'forex', 'aws', 'pros amazon aws', 'amazon aws', 'trading secrets pros', 'secrets pros amazon', 'trading secrets', 'pros amazon']"
11,11,11,11,11,975046,Trading Options With Money Flow,https://www.udemy.com/trading-options-using-money-flow/,TRUE,200,1380,42,17,All Levels,1 hour,2016-10-18T22:52:31Z,Business Finance,trading options money flow,trading options with money flow,"['options money flow', 'trading options money', 'options money', 'trading options', 'money flow', 'options', 'flow', 'trading', 'money']"
12,12,12,12,12,742602,Financial Management Risk and Return For Securities,https://www.udemy.com/risk-and-return-finance/,TRUE,30,3607,21,19,All Levels,1.5 hours,2016-02-03T18:04:01Z,Business Finance,financial management risk return securities,financial management risk and return for securities,"['financial management risk', 'risk return securities', 'management risk return', 'risk return', 'financial management', 'management risk', 'return securities', 'securities', 'risk', 'financial']"
13,13,13,13,13,794151,Forex Trading Course: Work Smarter Not Harder Proven Results,https://www.udemy.com/the-complete-trading-course/,TRUE,195,4061,52,16,All Levels,2 hours,2016-03-16T15:40:19Z,Business Finance,forex trading course work smarter harder proven results,forex trading course: work smarter not harder proven results,"['forex trading course', 'trading course work', 'forex trading', 'trading course', 'forex', 'course work smarter', 'course work', 'work smarter harder', 'smarter harder', 'trading']"
14,14,14,14,14,1196544,Python Algo Trading: Sentiment Trading with News,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,TRUE,200,294,19,42,All Levels,7 hours,2017-04-28T16:41:44Z,Business Finance,python algo trading sentiment trading news,python algo trading: sentiment trading with news,"['sentiment trading', 'sentiment trading news', 'trading sentiment trading', 'python algo trading', 'trading sentiment', 'algo trading sentiment', 'trading news', 'algo trading', 'python algo', 'sentiment']"
15,15,15,15,15,504036,Short Selling: Learn To Sell Stocks Before The Fall,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/,TRUE,75,2276,106,19,Intermediate Level,1.5 hours,2015-06-22T21:18:35Z,Business Finance,short selling learn sell stocks fall,short selling: learn to sell stocks before the fall,"['short selling learn', 'learn sell stocks', 'short selling', 'sell stocks fall', 'learn sell', 'sell stocks', 'selling learn sell', 'stocks', 'selling learn', 'stocks fall']"
16,16,16,16,16,719698,Basic Technical Analysis: Learn the structure of the market,https://www.udemy.com/learn-basic-technical-analysis/,TRUE,20,4919,79,16,Beginner Level,1.5 hours,2016-01-08T17:21:26Z,Business Finance,basic technical analysis learn structure market,basic technical analysis: learn the structure of the market,"['technical analysis learn', 'learn structure market', 'basic technical analysis', 'technical analysis', 'analysis learn structure', 'structure market', 'analysis learn', 'basic technical', 'market', 'learn structure']"
17,17,17,17,17,564966,The Complete Chart Pattern Trading Course: A Proven Approach,https://www.udemy.com/make-money-trading-stocks-from-home/,TRUE,200,2666,115,52,All Levels,4 hours,2015-08-10T21:07:35Z,Business Finance,complete chart pattern trading course proven approach,the complete chart pattern trading course: a proven approach,"['chart pattern trading', 'pattern trading course', 'trading course proven', 'pattern trading', 'chart pattern', 'trading course', 'complete chart pattern', 'chart', 'complete chart', 'course proven approach']"
18,18,18,18,18,606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!,https://www.udemy.com/7-deadly-mistakes-of-investing/,TRUE,50,5354,24,23,All Levels,1.5 hours,2015-09-21T18:10:34Z,Business Finance,7 deadly mistakes investing slash profits,7 deadly mistakes of investing that will slash your profits!,"['deadly mistakes investing', 'mistakes investing', 'investing slash profits', 'mistakes investing slash', 'investing', 'investing slash', 'slash profits', 'deadly mistakes', 'profits', 'mistakes']"
19,19,19,19,19,58977,Financial Statements Made Easy,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,TRUE,95,8095,249,12,Beginner Level,35 mins,2013-06-09T00:21:26Z,Business Finance,financial statements easy,financial statements made easy,"['financial statements easy', 'financial statements', 'financial', 'statements easy', 'statements', 'easy']"
20,20,20,20,20,1242604,Winning Forex Trading with Live Forex Trading Examples,https://www.udemy.com/forexmacross/,TRUE,200,809,3,25,All Levels,2 hours,2017-06-06T02:54:04Z,Business Finance,winning forex trading live forex trading examples,winning forex trading with live forex trading examples,"['winning forex trading', 'live forex trading', 'forex trading live', 'trading live forex', 'forex trading examples', 'winning forex', 'live forex', 'forex trading', 'forex', 'trading live']"
21,21,21,21,21,798740,Forex Traders - Create Your First Trading Robot. No Coding!,https://www.udemy.com/launch-your-amazing-forex-robot-in-30-minutes-no-coding/,TRUE,200,2295,84,39,All Levels,4 hours,2016-05-02T19:26:48Z,Business Finance,forex traders  create trading robot coding,forex traders - create your first trading robot. no coding!,"['create trading robot', 'trading robot', 'trading robot coding', 'forex traders', 'forex traders create', 'create trading', 'forex', 'robot coding', 'traders create trading', 'robot']"
22,22,22,22,22,506568,Create A Business From Home Trading Stocks Today In 2017,https://www.udemy.com/work-from-home-buying-penny-stocks/,TRUE,75,10149,83,16,All Levels,2 hours,2015-05-26T17:25:46Z,Business Finance,create business home trading stocks today 2017,create a business from home trading stocks today in 2017,"['home trading stocks', 'business home trading', 'trading stocks', 'trading stocks today', 'create business home', 'home trading', 'create business', 'stocks today 2017', 'business home', 'stocks today']"
23,23,23,23,23,1020760,Introduction to Accounting : Mastering Financial Statements,https://www.udemy.com/introduction-to-accounting-mastering-financial-statements/,TRUE,50,1916,38,23,Beginner Level,1 hour,2016-12-05T22:14:17Z,Business Finance,introduction accounting  mastering financial statements,introduction to accounting : mastering financial statements,"['mastering financial statements', 'introduction accounting', 'accounting mastering financial', 'introduction accounting mastering', 'financial statements', 'accounting mastering', 'mastering financial', 'accounting', 'financial', 'introduction']"
24,24,24,24,24,859742,The Complete Ethereum Course: Get .01 Ether In Your Wallet,https://www.udemy.com/ethereum/,TRUE,45,2507,333,40,All Levels,2 hours,2016-05-30T18:53:46Z,Business Finance,complete ethereum course 01 ether wallet,the complete ethereum course: get .01 ether in your wallet,"['ethereum course 01', 'ethereum course', 'complete ethereum course', 'course 01 ether', '01 ether', '01 ether wallet', 'ether wallet', 'ether', 'course 01', 'ethereum']"
25,25,25,25,25,383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training,https://www.udemy.com/powerpoint-master-class-for-business-and-finance-graduates/,TRUE,150,5786,518,50,All Levels,5 hours,2015-01-31T15:34:05Z,Business Finance,beginner pro powerpoint complete powerpoint training,beginner to pro in powerpoint: complete powerpoint training,"['complete powerpoint training', 'powerpoint training', 'beginner pro powerpoint', 'pro powerpoint complete', 'powerpoint complete powerpoint', 'powerpoint complete', 'powerpoint', 'complete powerpoint', 'pro powerpoint', 'beginner pro']"
26,26,26,26,26,353044,Investing 101: The Complete Online Investing Course,https://www.udemy.com/online-investing-guide/,TRUE,200,5334,373,42,All Levels,4.5 hours,2014-11-28T17:49:03Z,Business Finance,investing 101 complete online investing course,investing 101: the complete online investing course,"['online investing course', 'investing 101 complete', 'investing 101', 'online investing', 'investing course', 'complete online investing', 'investing', '101 complete online', 'complete online', 'online']"
27,27,27,27,27,447362,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,https://www.udemy.com/create-your-own-hedge-fund-double-your-money-every-year/,TRUE,175,4005,237,25,Intermediate Level,2 hours,2015-04-12T20:13:47Z,Business Finance,create hedge fund trade stocks like fund manager,create your own hedge fund: trade stocks like a fund manager,"['create hedge fund', 'hedge fund trade', 'hedge fund', 'fund trade stocks', 'like fund manager', 'trade stocks like', 'trade stocks', 'fund trade', 'fund manager', 'stocks like fund']"
28,28,28,28,28,831066,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),https://www.udemy.com/learn-mql5/,TRUE,150,2877,103,81,All Levels,4.5 hours,2016-04-26T22:41:46Z,Business Finance,learn mql5 build 8currency hedging robot metatrader 5,learn mql5: build an 8-currency hedging robot (metatrader 5),"['currency hedging robot', 'hedging robot metatrader', 'hedging robot', 'mql5 build currency', 'build currency hedging', 'learn mql5', 'learn mql5 build', 'robot metatrader', 'mql5', 'currency hedging']"
29,29,29,29,29,1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro,https://www.udemy.com/forex-trading-your-complete-guide-to-get-started-like-a-pro/,TRUE,140,1026,25,37,Beginner Level,3 hours,2017-06-27T22:21:31Z,Business Finance,forex trading complete guide started like pro,forex trading: your complete guide to get started like a pro,"['forex trading', 'forex trading complete', 'trading complete guide', 'forex', 'trading', 'complete guide', 'complete guide started', 'trading complete', 'guide', 'guide started']"
30,30,30,30,30,1170894,Python Algo Stock Trading: Automate Your Trading!,https://www.udemy.com/algorithmic-stock-trading-bootcamp-automate-your-trading/,TRUE,95,1165,21,41,Beginner Level,2.5 hours,2017-05-28T23:41:03Z,Business Finance,python algo stock trading automate trading,python algo stock trading: automate your trading!,"['python algo stock', 'stock trading automate', 'automate trading', 'trading automate trading', 'trading automate', 'algo stock trading', 'python algo', 'algo stock', 'stock trading', 'automate']"
31,31,31,31,31,948974,THE Forex Robot: Incredible ROI (Robot Included),https://www.udemy.com/the-forex-robot-1000-annual-profit-robot-included/,TRUE,200,1843,171,35,All Levels,1.5 hours,2016-10-04T15:20:57Z,Business Finance,forex robot incredible roi robot included,the forex robot: incredible roi (robot included),"['forex robot', 'forex robot incredible', 'robot incredible roi', 'forex', 'incredible roi robot', 'roi robot', 'roi robot included', 'incredible roi', 'robot', 'robot included']"
32,32,32,32,32,380970,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,https://www.udemy.com/bitcoin-for-beginners/,TRUE,45,8797,449,80,All Levels,6.5 hours,2015-01-09T03:55:15Z,Business Finance,complete bitcoin course 001 bitcoin wallet,the complete bitcoin course: get .001 bitcoin in your wallet,"['bitcoin course 001', 'course 001 bitcoin', 'complete bitcoin course', 'bitcoin course', '001 bitcoin', 'complete bitcoin', 'bitcoin', '001 bitcoin wallet', 'bitcoin wallet', 'course 001']"
33,33,33,33,33,1217778,Mastering High Probability Iron Condor Options Trading,https://www.udemy.com/mastering-high-probability-iron-condor-options-trading/,TRUE,200,1030,11,22,All Levels,2 hours,2017-06-01T05:22:08Z,Business Finance,mastering high probability iron condor options trading,mastering high probability iron condor options trading,"['condor options trading', 'iron condor options', 'probability iron condor', 'condor options', 'mastering high probability', 'options trading', 'high probability iron', 'iron condor', 'probability iron', 'condor']"
34,34,34,34,34,1246208,The Complete Short Course on Ethereum,https://www.udemy.com/ethereum1/,TRUE,200,1041,12,28,All Levels,1.5 hours,2017-06-11T19:02:03Z,Business Finance,complete short course ethereum,the complete short course on ethereum,"['short course ethereum', 'course ethereum', 'ethereum', 'complete short course', 'short course', 'complete short', 'course', 'complete', 'short']"
35,35,35,35,35,434774,Options Trading Stocks: Proven Toolbox For Financial Success,https://www.udemy.com/trading-stock-options-ii-simplified-strategies-for-success/,TRUE,195,7884,118,68,Intermediate Level,10 hours,2015-05-19T23:25:41Z,Business Finance,options trading stocks proven toolbox financial success,options trading stocks: proven toolbox for financial success,"['options trading stocks', 'options trading', 'toolbox financial', 'proven toolbox financial', 'toolbox financial success', 'stocks proven toolbox', 'trading stocks proven', 'trading stocks', 'stocks', 'stocks proven']"
36,36,36,36,36,308690,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,https://www.udemy.com/forex-trading/,TRUE,195,16900,2476,52,Beginner Level,5.5 hours,2014-12-12T23:58:39Z,Business Finance,forex trading az  live examples forex trading,forex trading a-z™ - with live examples of forex trading,"['forex trading live', 'live examples forex', 'forex trading', 'examples forex trading', 'forex', 'examples forex', 'trading live examples', 'trading live', 'trading', 'live examples']"
37,37,37,37,37,888716,"Introduction to Finance, Accounting, Modeling and Valuation",https://www.udemy.com/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,TRUE,200,11441,1118,61,All Levels,4.5 hours,2016-06-28T06:12:23Z,Business Finance,introduction finance accounting modeling valuation,"introduction to finance, accounting, modeling and valuation","['accounting modeling valuation', 'finance accounting modeling', 'modeling valuation', 'accounting modeling', 'finance accounting', 'introduction finance accounting', 'introduction finance', 'valuation', 'finance', 'accounting']"
38,38,38,38,38,321410,Beginner to Pro in Excel: Financial Modeling and Valuation,https://www.udemy.com/beginner-to-pro-in-excel-financial-modeling-and-valuation/,TRUE,195,22257,2697,138,All Levels,7.5 hours,2014-11-25T23:00:40Z,Business Finance,beginner pro excel financial modeling valuation,beginner to pro in excel: financial modeling and valuation,"['excel financial modeling', 'beginner pro excel', 'excel financial', 'financial modeling valuation', 'pro excel financial', 'financial modeling', 'modeling valuation', 'excel', 'pro excel', 'valuation']"
39,39,39,39,39,965832,The Complete Investment Banking Course 2017,https://www.udemy.com/the-complete-investment-banking-course-2016/,TRUE,195,8575,809,110,All Levels,5.5 hours,2016-10-10T16:16:26Z,Business Finance,complete investment banking course 2017,the complete investment banking course 2017,"['investment banking course', 'banking course 2017', 'complete investment banking', 'banking course', 'investment banking', 'banking', 'course 2017', 'investment', 'complete investment', '2017']"
40,40,40,40,40,648826,The Complete Financial Analyst Course 2017,https://www.udemy.com/the-complete-financial-analyst-course/,TRUE,195,24481,2347,174,All Levels,10 hours,2016-01-21T01:38:48Z,Business Finance,complete financial analyst course 2017,the complete financial analyst course 2017,"['analyst course 2017', 'financial analyst course', 'analyst course', 'complete financial analyst', 'course 2017', 'financial analyst', 'analyst', 'financial', 'complete financial', '2017']"
41,41,41,41,41,1035472,Python for Finance: Investment Fundamentals & Data Analytics,https://www.udemy.com/python-for-finance-investment-fundamentals-data-analytics/,TRUE,195,3811,278,103,All Levels,6.5 hours,2017-03-30T22:17:09Z,Business Finance,python finance investment fundamentals  data analytics,python for finance: investment fundamentals & data analytics,"['python finance', 'python finance investment', 'finance investment fundamentals', 'investment fundamentals', 'investment fundamentals data', 'fundamentals data analytics', 'fundamentals data', 'finance investment', 'finance', 'python']"
42,42,42,42,42,1154754,Financial Modeling for Startups & Small Businesses,https://www.udemy.com/financial-modeling-for-startups-small-businesses/,TRUE,195,4991,137,79,Beginner Level,11.5 hours,2017-03-29T22:36:05Z,Business Finance,financial modeling startups  small businesses,financial modeling for startups & small businesses,"['financial modeling startups', 'modeling startups small', 'modeling startups', 'financial modeling', 'startups small', 'startups small businesses', 'startups', 'small businesses', 'financial', 'businesses']"
43,43,43,43,43,627540,Options Trading - How to Win with Weekly Options,https://www.udemy.com/work-from-home-setup-your-own-options-trading-business/,TRUE,115,7489,1190,25,Intermediate Level,1 hour,2015-10-22T21:54:28Z,Business Finance,options trading  win weekly options,options trading - how to win with weekly options,"['options trading win', 'win weekly options', 'weekly options', 'options trading', 'trading win weekly', 'win weekly', 'weekly', 'options', 'trading win', 'win']"
44,44,44,44,44,301442,Black Algo Trading: Build Your Trading Robot,https://www.udemy.com/build-your-trading-robot/,TRUE,200,20195,1113,227,All Levels,16 hours,2014-10-27T22:01:36Z,Business Finance,black algo trading build trading robot,black algo trading: build your trading robot,"['trading robot', 'build trading robot', 'algo trading', 'black algo trading', 'algo trading build', 'build trading', 'trading build trading', 'trading', 'black algo', 'trading build']"
45,45,45,45,45,640100,Accounting & Financial Statement Analysis: Complete Training,https://www.udemy.com/accounting-fsa-a-solid-foundation-for-a-career-in-finance/,TRUE,150,10042,594,43,All Levels,3 hours,2015-10-22T00:03:48Z,Business Finance,accounting  financial statement analysis complete training,accounting & financial statement analysis: complete training,"['financial statement analysis', 'accounting financial statement', 'accounting financial', 'financial statement', 'accounting', 'analysis complete training', 'analysis complete', 'statement analysis', 'statement analysis complete', 'financial']"
46,46,46,46,46,1247394,Cryptocurrency Trading: Complete Guide To Trading Altcoins,https://www.udemy.com/cryptocurrency-trading/,TRUE,95,367,42,35,All Levels,5 hours,2017-06-21T23:18:47Z,Business Finance,cryptocurrency trading complete guide trading altcoins,cryptocurrency trading: complete guide to trading altcoins,"['guide trading altcoins', 'trading altcoins', 'cryptocurrency trading', 'cryptocurrency trading complete', 'altcoins', 'complete guide trading', 'trading complete guide', 'guide trading', 'cryptocurrency', 'trading']"
47,47,47,47,47,260470,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,https://www.udemy.com/backtesting/,TRUE,200,10603,872,42,All Levels,5.5 hours,2014-10-12T21:19:11Z,Business Finance,forex robots expect earn 175 pa forex robot included,forex robots: expect to earn 175% p.a. forex robot included!,"['forex robots', 'forex robot', 'forex robot included', '175 forex robot', 'forex robots expect', 'forex', 'earn 175 forex', 'robots expect earn', 'robot included', 'robots expect']"
48,48,48,48,48,1214702,Three Steps Trading - Live Trading - Real Account,https://www.udemy.com/three-steps-trading-live-trading-real-account/,TRUE,190,1197,11,46,All Levels,5 hours,2017-05-24T23:02:07Z,Business Finance,steps trading  live trading  real account,three steps trading - live trading - real account,"['steps trading live', 'live trading real', 'trading live trading', 'live trading', 'trading real account', 'trading live', 'steps trading', 'trading real', 'real account', 'trading']"
49,49,49,49,49,848664,Option Trading for Rookies:  Understand Options Completely,https://www.udemy.com/complete-course-introduction-to-option-trading/,TRUE,150,2893,65,62,All Levels,2 hours,2016-08-10T15:27:06Z,Business Finance,option trading rookies understand options completely,option trading for rookies:  understand options completely,"['understand options completely', 'option trading rookies', 'option trading', 'understand options', 'rookies understand options', 'options', 'options completely', 'trading rookies understand', 'rookies understand', 'option']"
50,50,50,50,50,1142570,How I Learned Stock Trading (and How You Can Too),https://www.udemy.com/best-stock-traders/,TRUE,200,1580,12,53,Expert Level,2 hours,2017-05-02T21:20:54Z,Business Finance,learned stock trading and too,how i learned stock trading (and how you can too),"['learned stock trading', 'learned stock', 'stock trading', 'stock', 'trading', 'learned']"
51,51,51,51,51,325834,Learn to Trade for Profit: Find and Trade Winning Stocks,https://www.udemy.com/trading-stocks-successfully-introduction-to-stock-trading/,TRUE,95,10605,71,77,All Levels,3 hours,2014-10-24T18:13:49Z,Business Finance,learn trade profit find trade winning stocks,learn to trade for profit: find and trade winning stocks,"['trade winning stocks', 'learn trade profit', 'winning stocks', 'profit trade winning', 'profit trade', 'trade profit', 'trade profit trade', 'stocks', 'learn trade', 'trade winning']"
52,52,52,52,52,411168,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,https://www.udemy.com/trading-inside-bars-find-setups-today-make-money-tomorrow/,TRUE,125,2996,200,23,Intermediate Level,2 hours,2015-03-09T00:24:38Z,Business Finance,trading inside bars  master 1 easy pattern successful,trading inside bars - master 1 easy pattern to be successful,"['trading inside bars', 'bars master easy', 'trading inside', 'inside bars master', 'bars master', 'master easy pattern', 'trading', 'inside bars', 'bars', 'easy pattern successful']"
53,53,53,53,53,885974,Four Fundamentals of Financial Planning,https://www.udemy.com/four-fundamentals-of-financial-planning/,TRUE,30,6219,23,20,All Levels,1 hour,2017-02-14T04:42:58Z,Business Finance,fundamentals financial planning,four fundamentals of financial planning,"['fundamentals financial planning', 'financial planning', 'fundamentals financial', 'financial', 'planning', 'fundamentals']"
54,54,54,54,54,1151092,Options Trading - Calendar Spread Course for Every Trader,https://www.udemy.com/options-trading-calendar-spread-course-for-every-trader/,TRUE,200,1113,11,17,All Levels,1.5 hours,2017-04-02T21:46:00Z,Business Finance,options trading  calendar spread course trader,options trading - calendar spread course for every trader,"['calendar spread course', 'options trading calendar', 'spread course trader', 'trading calendar spread', 'calendar spread', 'options trading', 'trading calendar', 'spread course', 'course trader', 'calendar']"
55,55,55,55,55,358326,Dividend Investing: Build Your Portfolio for a Better Future,https://www.udemy.com/dividend-investing/,TRUE,60,8314,83,47,Beginner Level,4 hours,2015-01-24T06:31:19Z,Business Finance,dividend investing build portfolio better future,dividend investing: build your portfolio for a better future,"['dividend investing', 'dividend investing build', 'dividend', 'investing build portfolio', 'portfolio better future', 'investing', 'investing build', 'portfolio better', 'build portfolio better', 'portfolio']"
56,56,56,56,56,153210,Learn Accounting. Understand Business.,https://www.udemy.com/learn-accounting-understand-business/,TRUE,200,5572,123,33,Beginner Level,5.5 hours,2014-03-27T17:58:37Z,Business Finance,learn accounting understand business,learn accounting. understand business.,"['learn accounting', 'learn accounting understand', 'accounting understand business', 'accounting understand', 'accounting', 'understand business', 'business', 'learn', 'understand']"
57,57,57,57,57,834836,How to Consistently Win Trading Stocks in 30 Days or Less,https://www.udemy.com/winningstocktrades/,TRUE,145,1433,169,15,Intermediate Level,1 hour,2016-05-09T05:44:33Z,Business Finance,consistently win trading stocks 30 days,how to consistently win trading stocks in 30 days or less,"['win trading stocks', 'consistently win trading', 'trading stocks 30', 'win trading', 'stocks 30 days', 'trading stocks', 'consistently win', 'stocks', 'stocks 30', 'trading']"
58,58,58,58,58,1171994,A Beginner's Guide to Quantopian Futures API,https://www.udemy.com/quantopian-futures/,TRUE,20,936,6,11,Intermediate Level,1.5 hours,2017-04-11T00:59:50Z,Business Finance,beginners guide quantopian futures api,a beginner's guide to quantopian futures api,"['quantopian futures api', 'guide quantopian futures', 'quantopian futures', 'futures api', 'beginner guide quantopian', 'guide quantopian', 'futures', 'quantopian', 'api', 'beginner guide']"
59,59,59,59,59,1239068,How to Buy Cheap Options - Options Trading Pricing Model,https://www.udemy.com/options-black-scholes-model/,TRUE,200,658,2,19,All Levels,1 hour,2017-06-02T18:12:45Z,Business Finance,buy cheap options  options trading pricing model,how to buy cheap options - options trading pricing model,"['options trading pricing', 'buy cheap options', 'options options trading', 'cheap options options', 'options trading', 'trading pricing model', 'cheap options', 'trading pricing', 'pricing model', 'buy cheap']"
60,60,60,60,60,985922,Excel Crash Course: Master Excel for Financial Analysis,https://www.udemy.com/excel-crash-course-master-excel-for-financial-analysis/,TRUE,105,8121,689,40,All Levels,3.5 hours,2016-10-18T00:51:59Z,Business Finance,excel crash course master excel financial analysis,excel crash course: master excel for financial analysis,"['excel crash course', 'master excel financial', 'master excel', 'course master excel', 'excel financial analysis', 'excel financial', 'excel', 'financial analysis', 'excel crash', 'crash course master']"
61,61,61,61,61,765562,"Comprehensive Guide to Financial Markets, Investing &Trading",https://www.udemy.com/financial-markets-a-to-z-for-beginners/,TRUE,60,4187,600,79,Beginner Level,9 hours,2016-02-29T18:45:41Z,Business Finance,comprehensive guide financial markets investing trading,"comprehensive guide to financial markets, investing &trading","['financial markets investing', 'guide financial markets', 'markets investing', 'markets investing trading', 'comprehensive guide financial', 'financial markets', 'investing trading', 'guide financial', 'investing', 'markets']"
62,62,62,62,62,165964,Stock Trading Ninja: Complete System For Trading Success,https://www.udemy.com/stock-trading-ninja-learn-how-to-make-money-trading-stocks/,TRUE,155,9445,497,38,All Levels,4.5 hours,2014-02-19T19:04:28Z,Business Finance,stock trading ninja complete system trading success,stock trading ninja: complete system for trading success,"['stock trading ninja', 'ninja complete trading', 'complete trading success', 'stock trading', 'complete trading', 'trading success', 'trading ninja complete', 'trading ninja', 'stock', 'trading']"
