,Unnamed: 0,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,Simplified_Title,course_title_l,keywords
14,861,AWS Fundamentals: Building Serverless Applications,Amazon Web Services,COURSE,4.7,Beginner,27k,aws fundamentals building serverless applications,aws fundamentals: building serverless applications,"['fundamentals building serverless', 'building serverless applications', 'aws fundamentals', 'aws fundamentals building', 'serverless applications', 'building serverless', 'serverless', 'aws', 'fundamentals building', 'fundamentals']"
15,281,AWS Fundamentals: Going Cloud-Native,Amazon Web Services,COURSE,4.7,Beginner,110k,aws fundamentals going cloudnative,aws fundamentals: going cloud-native,"['aws fundamentals', 'aws fundamentals going', 'going cloud native', 'fundamentals going cloud', 'aws', 'cloud native', 'going cloud', 'cloud', 'fundamentals going', 'fundamentals']"
16,828,AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,COURSE,4.5,Intermediate,13k,aws fundamentals migrating cloud,aws fundamentals: migrating to the cloud,"['aws fundamentals migrating', 'fundamentals migrating cloud', 'aws fundamentals', 'migrating cloud', 'aws', 'fundamentals migrating', 'migrating', 'cloud', 'fundamentals']"
17,819,Aboriginal Worldviews and Education,University of Toronto,COURSE,4.7,Mixed,6.6k,aboriginal worldviews education,aboriginal worldviews and education,"['aboriginal worldviews education', 'aboriginal worldviews', 'worldviews education', 'aboriginal', 'worldviews', 'education']"
18,63,Academic English: Writing,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,540k,academic english writing,academic english: writing,"['academic english writing', 'english writing', 'academic english', 'writing', 'academic', 'english']"
19,142,Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,22k,accelerated computer science fundamentals,accelerated computer science fundamentals,"['accelerated computer science', 'computer science fundamentals', 'computer science', 'accelerated computer', 'fundamentals', 'science fundamentals', 'accelerated', 'computer', 'science']"
20,612,Access Controls,(ISC)²,COURSE,4.6,Beginner,2.9k,access controls,access controls,"['access controls', 'access', 'controls']"
21,604,Accounting Analytics,University of Pennsylvania,COURSE,4.5,Mixed,80k,accounting analytics,accounting analytics,"['accounting analytics', 'analytics', 'accounting']"
22,727,Accounting for Decision Making,University of Michigan,COURSE,4.8,Intermediate,9.9k,accounting decision making,accounting for decision making,"['decision making', 'accounting decision making', 'accounting decision', 'accounting', 'decision', 'making']"
23,51,Achieving Personal and Professional Success,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,110k,achieving personal professional success,achieving personal and professional success,"['personal professional success', 'professional success', 'achieving personal professional', 'achieving personal', 'achieving', 'personal professional', 'success', 'professional', 'personal']"
24,838,Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,23k,actualizacin en el manejo del paciente con diabetes mellitus tipo 2,actualización en el manejo del paciente con diabetes mellitus tipo 2,"['diabetes mellitus tipo', 'paciente diabetes mellitus', 'diabetes mellitus', 'del paciente diabetes', 'paciente diabetes', 'diabetes', 'actualización en el', 'actualización en', 'manejo del paciente', 'mellitus tipo']"
25,330,Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,COURSE,4.8,Beginner,9.2k,addiction treatment clinical skills healthcare providers,addiction treatment: clinical skills for healthcare providers,"['addiction treatment', 'addiction treatment clinical', 'treatment clinical skills', 'clinical skills healthcare', 'addiction', 'skills healthcare providers', 'skills healthcare', 'clinical skills', 'treatment clinical', 'treatment']"
26,247,Advanced Business Analytics,University of Colorado Boulder,SPECIALIZATION,4.5,Intermediate,78k,advanced business analytics,advanced business analytics,"['advanced business analytics', 'business analytics', 'analytics', 'advanced business', 'business', 'advanced']"
27,157,Advanced Data Science with IBM,IBM,SPECIALIZATION,4.4,Advanced,320k,advanced data science ibm,advanced data science with ibm,"['data science ibm', 'advanced data science', 'advanced data', 'science ibm', 'data science', 'ibm', 'data', 'advanced', 'science']"
28,103,Advanced Machine Learning,National Research University Higher School of Economics,SPECIALIZATION,4.5,Advanced,190k,advanced machine learning,advanced machine learning,"['advanced machine learning', 'machine learning', 'advanced machine', 'advanced', 'learning', 'machine']"
29,324,Advanced Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Advanced,35k,advanced machine learning tensorflow google cloud platform,advanced machine learning with tensorflow on google cloud platform,"['tensorflow google cloud', 'tensorflow google', 'learning tensorflow google', 'tensorflow', 'machine learning tensorflow', 'learning tensorflow', 'google cloud platform', 'google cloud', 'advanced machine learning', 'cloud platform']"
30,266,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,COURSE,4.7,Advanced,29k,advanced valuation strategy  ma private equity venture capital,"advanced valuation and strategy - m&a, private equity, and venture capital","['advanced valuation strategy', 'strategy private equity', 'equity venture capital', 'venture capital', 'advanced valuation', 'private equity venture', 'valuation strategy private', 'equity venture', 'valuation strategy', 'private equity']"
31,825,Advertising and Society,Duke University,COURSE,4.8,Mixed,14k,advertising society,advertising and society,"['advertising society', 'advertising', 'society']"
32,853,Age of Cathedrals,Yale University,COURSE,4.7,Beginner,21k,age cathedrals,age of cathedrals,"['age cathedrals', 'cathedrals', 'age']"
33,75,Agile Development,University of Virginia,SPECIALIZATION,4.7,Beginner,94k,agile development,agile development,"['agile development', 'agile', 'development']"
34,482,Agile Meets Design Thinking,University of Virginia,COURSE,4.7,Beginner,69k,agile meets design thinking,agile meets design thinking,"['agile meets design', 'design thinking', 'meets design thinking', 'agile meets', 'agile', 'meets design', 'design', 'thinking', 'meets']"
35,212,Agile with Atlassian Jira,Atlassian,COURSE,4.7,Beginner,40k,agile atlassian jira,agile with atlassian jira,"['agile atlassian jira', 'atlassian jira', 'agile atlassian', 'agile', 'jira', 'atlassian']"
36,846,Agile и Scrum в работе над проектами и продуктами,ScrumTrek,COURSE,4.9,Beginner,12k,agile  scrum      ,agile и scrum в работе над проектами и продуктами,"['agile scrum работе', 'scrum работе над', 'scrum работе', 'agile scrum', 'scrum', 'над проектами продуктами', 'работе над проектами', 'проектами продуктами', 'agile', 'над проектами']"
37,561,Algorithmic Toolbox,University of California San Diego,COURSE,4.7,Intermediate,220k,algorithmic toolbox,algorithmic toolbox,"['algorithmic toolbox', 'toolbox', 'algorithmic']"
38,78,Algorithms,Stanford University,SPECIALIZATION,4.8,Intermediate,150k,algorithms,algorithms,['algorithms']
39,242,Algorithms for Battery Management Systems,University of Colorado System,SPECIALIZATION,4.8,Intermediate,14k,algorithms battery management systems,algorithms for battery management systems,"['battery management systems', 'algorithms battery management', 'battery management', 'algorithms battery', 'battery', 'algorithms', 'management systems', 'systems', 'management']"
40,322,American Contract Law I,Yale University,COURSE,4.9,Beginner,18k,american contract law,american contract law i,"['american contract law', 'contract law', 'american contract', 'contract', 'law', 'american']"
41,159,An Introduction to American Law,University of Pennsylvania,COURSE,4.8,Beginner,23k,introduction american law,an introduction to american law,"['introduction american law', 'american law', 'law', 'introduction american', 'introduction', 'american']"
42,265,An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,COURSE,4.7,Beginner,69k,introduction consumer neuroscience  neuromarketing,an introduction to consumer neuroscience & neuromarketing,"['consumer neuroscience neuromarketing', 'neuroscience neuromarketing', 'introduction consumer neuroscience', 'consumer neuroscience', 'neuromarketing', 'neuroscience', 'consumer', 'introduction consumer', 'introduction']"
43,151,An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",SPECIALIZATION,4.6,Beginner,270k,introduction programming internet things iot,an introduction to programming the internet of things (iot),"['programming internet things', 'introduction programming', 'introduction programming internet', 'internet things iot', 'iot', 'internet things', 'things iot', 'programming internet', 'programming', 'introduction']"
44,752,Analysing: Numeric and digital literacies,Macquarie University,SPECIALIZATION,4.6,Beginner,7.9k,analysing numeric digital literacies,analysing: numeric and digital literacies,"['numeric digital literacies', 'digital literacies', 'analysing numeric', 'literacies', 'analysing numeric digital', 'numeric digital', 'analysing', 'numeric', 'digital']"
45,119,Anatomy,University of Michigan,SPECIALIZATION,4.8,Beginner,30k,anatomy,anatomy,['anatomy']
46,302,"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,COURSE,4.8,Intermediate,36k,anatomy chest abdomen pelvis,"anatomy of the chest, abdomen, and pelvis","['anatomy chest abdomen', 'chest abdomen pelvis', 'anatomy chest', 'chest abdomen', 'abdomen pelvis', 'anatomy', 'pelvis', 'chest', 'abdomen']"
47,508,Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,COURSE,4.8,Beginner,20k,anatomy musculoskeletal integumentary systems,anatomy: musculoskeletal and integumentary systems,"['anatomy musculoskeletal integumentary', 'musculoskeletal integumentary systems', 'anatomy musculoskeletal', 'musculoskeletal integumentary', 'integumentary systems', 'anatomy', 'musculoskeletal', 'integumentary', 'systems']"
48,797,Ancient Philosophy: Aristotle and His Successors,University of Pennsylvania,COURSE,4.8,Mixed,8.1k,ancient philosophy aristotle successors,ancient philosophy: aristotle and his successors,"['ancient philosophy aristotle', 'philosophy aristotle successors', 'philosophy aristotle', 'aristotle', 'aristotle successors', 'ancient philosophy', 'philosophy', 'ancient', 'successors']"
49,390,Android App Development,Vanderbilt University,SPECIALIZATION,4.5,Beginner,120k,android app development,android app development,"['android app development', 'app development', 'android app', 'android', 'app', 'development']"
50,201,Animal Behaviour and Welfare,The University of Edinburgh,COURSE,4.8,Mixed,71k,animal behaviour welfare,animal behaviour and welfare,"['animal behaviour welfare', 'animal behaviour', 'behaviour welfare', 'animal', 'behaviour', 'welfare']"
51,663,Antibiotic Stewardship,Stanford University,COURSE,4.5,Advanced,11k,antibiotic stewardship,antibiotic stewardship,"['antibiotic stewardship', 'antibiotic', 'stewardship']"
52,514,Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,11k,anticorrupcin introduccin conceptos perspectiva prctica,anticorrupción: introducción a conceptos y perspectiva práctica,"['anticorrupción introducción conceptos', 'anticorrupción introducción', 'anticorrupción', 'conceptos perspectiva práctica', 'introducción conceptos', 'introducción conceptos perspectiva', 'introducción', 'perspectiva práctica', 'conceptos perspectiva', 'práctica']"
53,799,Antimicrobial resistance - theory and methods,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,63k,antimicrobial resistance  theory methods,antimicrobial resistance - theory and methods,"['antimicrobial resistance theory', 'antimicrobial resistance', 'antimicrobial', 'resistance theory methods', 'resistance theory', 'resistance', 'theory methods', 'methods', 'theory']"
54,8,Applied Data Science,IBM,SPECIALIZATION,4.6,Beginner,220k,applied data science,applied data science,"['applied data science', 'data science', 'applied data', 'data', 'science', 'applied']"
55,637,Applied Data Science Capstone,IBM,COURSE,4.7,Intermediate,42k,applied data science capstone,applied data science capstone,"['data science capstone', 'applied data science', 'data science', 'applied data', 'science capstone', 'data', 'capstone', 'applied', 'science']"
56,26,Applied Data Science with Python,University of Michigan,SPECIALIZATION,4.5,Intermediate,480k,applied data science python,applied data science with python,"['data science python', 'applied data science', 'science python', 'data science', 'applied data', 'data', 'python', 'science', 'applied']"
57,630,Applied Machine Learning in Python,University of Michigan,COURSE,4.6,Intermediate,150k,applied machine learning python,applied machine learning in python,"['machine learning python', 'applied machine learning', 'machine learning', 'learning python', 'applied machine', 'python', 'learning', 'machine', 'applied']"
58,491,"Applied Plotting, Charting & Data Representation in Python",University of Michigan,COURSE,4.6,Intermediate,97k,applied plotting charting  data representation python,"applied plotting, charting & data representation in python","['charting data representation', 'applied plotting charting', 'plotting charting data', 'charting data', 'plotting charting', 'data representation python', 'applied plotting', 'charting', 'plotting', 'data representation']"
59,888,Aprende a programar con Python,Universidad Austral,SPECIALIZATION,4.2,Beginner,6.6k,aprende programar con python,aprende a programar con python,"['aprende programar python', 'programar python', 'python', 'aprende programar', 'programar', 'aprende']"
60,512,Aprender,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,200k,aprender,aprender,['aprender']
61,551,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,COURSE,4.9,Beginner,180k,aprendiendo aprender poderosas herramientas mentales con las que podrs dominar temas difciles learning learn,aprendiendo a aprender: poderosas herramientas mentales con las que podrás dominar temas difíciles (learning how to learn),"['poderosas herramientas mentales', 'herramientas mentales las', 'herramientas mentales', 'aprender poderosas herramientas', 'aprendiendo aprender poderosas', 'poderosas herramientas', 'aprender poderosas', 'mentales las', 'aprendiendo aprender', 'que podrás dominar']"
62,437,Architecting with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.5,Intermediate,4.2k,architecting google cloud platform ,architecting with google cloud platform 日本語版,"['cloud platform 日本語版', 'google cloud platform', 'architecting google cloud', 'platform 日本語版', '日本語版', 'google cloud', 'architecting google', 'cloud platform', 'architecting', 'cloud']"
63,10,Architecting with Google Compute Engine,Google Cloud,SPECIALIZATION,4.7,Intermediate,310k,architecting google compute engine,architecting with google compute engine,"['architecting google compute', 'google compute engine', 'google compute', 'compute engine', 'architecting google', 'architecting', 'compute', 'google', 'engine']"
64,573,Architecting with Google Kubernetes Engine 日本語版,Google Cloud,SPECIALIZATION,4.5,Beginner,3.9k,architecting google kubernetes engine ,architecting with google kubernetes engine 日本語版,"['kubernetes engine 日本語版', 'architecting google kubernetes', 'google kubernetes engine', 'kubernetes engine', 'google kubernetes', 'kubernetes', 'engine 日本語版', 'architecting google', '日本語版', 'architecting']"
65,56,Arizona State University TESOL,Arizona State University,PROFESSIONAL CERTIFICATE,4.9,Beginner,150k,arizona state university tesol,arizona state university tesol,"['state university tesol', 'arizona state university', 'university tesol', 'arizona state', 'state university', 'tesol', 'university', 'arizona', 'state']"
66,479,Art & Activity: Interactive Strategies for Engaging with Art,The Museum of Modern Art,COURSE,4.8,Mixed,79k,art  activity interactive strategies engaging art,art & activity: interactive strategies for engaging with art,"['strategies engaging art', 'engaging art', 'art activity', 'art activity interactive', 'activity interactive strategies', 'art', 'interactive strategies engaging', 'activity interactive', 'activity', 'engaging']"
67,452,Art & Ideas: Teaching with Themes,The Museum of Modern Art,COURSE,4.8,Mixed,31k,art  ideas teaching themes,art & ideas: teaching with themes,"['art ideas teaching', 'teaching themes', 'ideas teaching themes', 'ideas teaching', 'art ideas', 'art', 'teaching', 'themes', 'ideas']"
68,651,Arts and Culture Strategy,National Arts Strategies,COURSE,4.6,Mixed,15k,arts culture strategy,arts and culture strategy,"['arts culture strategy', 'culture strategy', 'arts culture', 'arts', 'culture', 'strategy']"
69,326,Arts and Heritage Management,Università Bocconi,COURSE,4.8,Mixed,15k,arts heritage management,arts and heritage management,"['arts heritage management', 'heritage management', 'arts heritage', 'heritage', 'arts', 'management']"
70,877,Aspectos básicos de la planificación y la gestión de proyectos,University of Virginia,COURSE,4.9,Beginner,10k,aspectos bsicos de la planificacin la gestin de proyectos,aspectos básicos de la planificación y la gestión de proyectos,"['básicos la planificación', 'planificación la gestión', 'la planificación', 'la planificación la', 'planificación la', 'planificación', 'gestión proyectos', 'la gestión proyectos', 'aspectos básicos la', 'aspectos básicos']"
71,753,Astrobiology and the Search for Extraterrestrial Life,The University of Edinburgh,COURSE,4.7,Mixed,66k,astrobiology search extraterrestrial life,astrobiology and the search for extraterrestrial life,"['astrobiology search extraterrestrial', 'astrobiology', 'search extraterrestrial life', 'astrobiology search', 'extraterrestrial life', 'search extraterrestrial', 'extraterrestrial', 'life', 'search']"
72,782,Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Pontificia Universidad Católica de Chile,COURSE,4.8,Intermediate,33k,atencin primaria en salud el desafo de las enfermedades transmisibles,atención primaria en salud: el desafío de las enfermedades no transmisibles,"['primaria en salud', 'atención primaria en', 'desafío las enfermedades', 'enfermedades', 'en salud', 'las enfermedades', 'primaria en', 'las enfermedades transmisibles', 'atención primaria', 'en salud el']"
73,210,Autism Spectrum Disorder,"University of California, Davis",COURSE,4.6,Mixed,56k,autism spectrum disorder,autism spectrum disorder,"['autism spectrum disorder', 'autism spectrum', 'spectrum disorder', 'autism', 'disorder', 'spectrum']"
74,885,Autodesk CAD/CAM for Manufacturing,Autodesk,SPECIALIZATION,4.8,Intermediate,7.3k,autodesk cadcam manufacturing,autodesk cad/cam for manufacturing,"['autodesk cad cam', 'cad cam manufacturing', 'autodesk cad', 'cad cam', 'cam manufacturing', 'autodesk', 'cad', 'manufacturing', 'cam']"
75,468,Autodesk CAD/CAM/CAE for Mechanical Engineering,Autodesk,SPECIALIZATION,4.8,Intermediate,9.2k,autodesk cadcamcae mechanical engineering,autodesk cad/cam/cae for mechanical engineering,"['cad cam cae', 'autodesk cad', 'autodesk cad cam', 'autodesk', 'cad cam', 'cae mechanical', 'cam cae mechanical', 'cae mechanical engineering', 'cad', 'mechanical engineering']"
76,702,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,COURSE,4.7,Advanced,22k,autodesk certified professional autocad design drafting exam prep,autodesk certified professional: autocad for design and drafting exam prep,"['professional autocad design', 'certified professional autocad', 'design drafting exam', 'professional autocad', 'autodesk certified professional', 'autocad design drafting', 'autocad design', 'drafting exam', 'autodesk certified', 'autocad']"
77,590,Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,COURSE,4.7,Advanced,9.7k,autodesk certified professional revit architectural design exam prep,autodesk certified professional: revit for architectural design exam prep,"['architectural design exam', 'design exam prep', 'design exam', 'autodesk certified professional', 'autodesk certified', 'professional revit architectural', 'architectural design', 'autodesk', 'architectural', 'revit architectural design']"
78,816,BIM Fundamentals for Engineers,National Taiwan University,COURSE,4.6,Beginner,13k,bim fundamentals engineers,bim fundamentals for engineers,"['bim fundamentals engineers', 'bim fundamentals', 'bim', 'fundamentals engineers', 'engineers', 'fundamentals']"
79,642,Basic Statistics,University of Amsterdam,COURSE,4.6,Beginner,180k,basic statistics,basic statistics,"['basic statistics', 'statistics', 'basic']"
80,493,Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",COURSE,4.8,Intermediate,91k,bayesian statistics concept data analysis,bayesian statistics: from concept to data analysis,"['bayesian statistics', 'bayesian statistics concept', 'bayesian', 'statistics concept data', 'statistics concept', 'statistics', 'concept data analysis', 'data analysis', 'concept data', 'data']"
81,602,Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",COURSE,4.8,Intermediate,29k,bayesian statistics techniques models,bayesian statistics: techniques and models,"['bayesian statistics techniques', 'bayesian statistics', 'bayesian', 'statistics techniques models', 'statistics techniques', 'statistics', 'techniques models', 'models', 'techniques']"
82,106,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,COURSE,4.9,Mixed,210k,cbrs certified professional installer google,become a cbrs certified professional installer by google,"['certified professional installer', 'cbrs certified', 'cbrs certified professional', 'professional installer', 'professional installer google', 'cbrs', 'installer google', 'installer', 'certified professional', 'certified']"
83,294,Become a Journalist: Report the News!,Michigan State University,SPECIALIZATION,4.7,Beginner,28k,journalist report news,become a journalist: report the news!,"['report news', 'journalist report news', 'journalist report', 'journalist', 'report', 'news']"
84,809,Become a Sustainable Business Change Agent,University of Colorado System,SPECIALIZATION,4.7,Intermediate,4.2k,sustainable business change agent,become a sustainable business change agent,"['sustainable business change', 'business change agent', 'sustainable business', 'business change', 'change agent', 'sustainable', 'change', 'business', 'agent']"
85,776,Becoming a Sports Agent,Case Western Reserve University,COURSE,4.7,Beginner,6.5k,sports agent,becoming a sports agent,"['sports agent', 'agent', 'sports']"
86,672,Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,COURSE,4.8,Beginner,61k,changemaker introduction social innovation,becoming a changemaker: introduction to social innovation,"['social innovation', 'introduction social innovation', 'changemaker introduction social', 'innovation', 'changemaker introduction', 'introduction social', 'changemaker', 'social', 'introduction']"
87,269,Behavioral Finance,Duke University,COURSE,4.4,Mixed,55k,behavioral finance,behavioral finance,"['behavioral finance', 'finance', 'behavioral']"
88,456,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,COURSE,4.6,Mixed,2.3k,sustainable development goals sdgs addressing sustainability development,beyond the sustainable development goals (sdgs): addressing sustainability and development,"['sdgs addressing sustainability', 'addressing sustainability development', 'sustainable development goals', 'sustainability development', 'addressing sustainability', 'sustainable development', 'development goals sdgs', 'sustainability', 'goals sdgs addressing', 'development goals']"
89,498,Big Data – Introducción al uso práctico de datos masivos,Universitat Autònoma de Barcelona,SPECIALIZATION,4.5,Beginner,8.8k,big data  introduccin al uso prctico de datos masivos,big data – introducción al uso práctico de datos masivos,"['big data introducción', 'big data', 'data introducción', 'práctico datos masivos', 'data introducción al', 'data', 'práctico datos', 'uso práctico datos', 'datos masivos', 'datos']"
90,687,Biohacking Your Brain's Health,Emory University,COURSE,4.6,Beginner,35k,biohacking brains health,biohacking your brain's health,"['biohacking brain health', 'biohacking brain', 'brain health', 'biohacking', 'brain', 'health']"
91,565,Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,COURSE,4.4,Beginner,88k,biology meets programming bioinformatics beginners,biology meets programming: bioinformatics for beginners,"['programming bioinformatics beginners', 'programming bioinformatics', 'meets programming bioinformatics', 'bioinformatics beginners', 'biology meets programming', 'bioinformatics', 'programming', 'meets programming', 'biology meets', 'biology']"
92,131,Biostatistics in Public Health,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,14k,biostatistics public health,biostatistics in public health,"['biostatistics public health', 'biostatistics', 'biostatistics public', 'public health', 'health', 'public']"
93,751,Blended Language Learning: Design and Practice for Teachers,University of Colorado Boulder,COURSE,4.8,Intermediate,1.9k,blended language learning design practice teachers,blended language learning: design and practice for teachers,"['blended language learning', 'blended language', 'language learning design', 'language learning', 'language', 'learning design practice', 'design practice teachers', 'learning design', 'practice teachers', 'design practice']"
94,251,Blockchain,University at Buffalo,SPECIALIZATION,4.6,Intermediate,68k,blockchain,blockchain,['blockchain']
95,143,Blockchain Revolution,INSEAD,SPECIALIZATION,4.7,Beginner,21k,blockchain revolution,blockchain revolution,"['blockchain revolution', 'blockchain', 'revolution']"
96,462,Blockchain Revolution in Financial Services,INSEAD,SPECIALIZATION,4.6,Beginner,1.6k,blockchain revolution financial services,blockchain revolution in financial services,"['blockchain revolution financial', 'blockchain revolution', 'blockchain', 'revolution financial services', 'financial services', 'revolution financial', 'financial', 'revolution', 'services']"
97,719,Blockchain: Foundations and Use Cases,ConsenSys Academy,COURSE,4.7,Beginner,31k,blockchain foundations use cases,blockchain: foundations and use cases,"['blockchain foundations', 'blockchain foundations use', 'blockchain', 'foundations use cases', 'use cases', 'foundations use', 'foundations', 'use', 'cases']"
98,645,Boosting Creativity for Innovation,HEC Paris,COURSE,4.9,Beginner,9.5k,boosting creativity innovation,boosting creativity for innovation,"['boosting creativity innovation', 'boosting creativity', 'creativity innovation', 'innovation', 'creativity', 'boosting']"
99,72,"Brand Management: Aligning Business, Brand and Behaviour",London Business School,COURSE,4.9,Beginner,57k,brand management aligning business brand behaviour,"brand management: aligning business, brand and behaviour","['brand management aligning', 'brand management', 'business brand behaviour', 'aligning business brand', 'brand behaviour', 'business brand', 'brand', 'management aligning business', 'aligning business', 'management aligning']"
100,238,Branding: The Creative Journey,IE Business School,SPECIALIZATION,4.6,Beginner,26k,branding creative journey,branding: the creative journey,"['branding creative journey', 'branding creative', 'branding', 'creative journey', 'creative', 'journey']"
101,486,Budgeting and Scheduling Projects,"University of California, Irvine",COURSE,4.7,Mixed,84k,budgeting scheduling projects,budgeting and scheduling projects,"['budgeting scheduling projects', 'budgeting scheduling', 'scheduling projects', 'budgeting', 'scheduling', 'projects']"
102,688,Bugs 101: Insect-Human Interactions,University of Alberta,COURSE,4.9,Beginner,15k,bugs 101 insecthuman interactions,bugs 101: insect-human interactions,"['insect human interactions', 'bugs 101 insect', 'insect human', 'insect', '101 insect human', 'bugs 101', '101 insect', 'bugs', 'human interactions', 'human']"
103,395,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,COURSE,4.9,Mixed,95k,build modern computer principles nand tetris projectcentered course,build a modern computer from first principles: from nand to tetris (project-centered course),"['nand tetris project', 'computer principles nand', 'build modern computer', 'principles nand tetris', 'tetris project centered', 'nand tetris', 'computer principles', 'project centered course', 'tetris project', 'principles nand']"
